AXIOM TYPE,AXIOM,NATURAL LANGUAGE TRANSLATION
SubClassOf,HPVCO_00000083 ⊑ ∃ HPVCO_00000056.HPVCO_00000020,every history of cancer is a type of something whose causally related to is a throat cancer
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000175.HPVCO_00000170,every vaginal cancer is a type of something that has symptom a painful urination
SubClassOf,HPVCO_00000193 ⊑ HPVCO_00000113,every anal pap test is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000164,every throat cancer is a type of something that has symptom a coughing up blood
SubClassOf,HPVCO_00000129 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every vulvar intraepithelial neoplasia (vin)precancerous conditions of the vulva is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000061 ⊑ ∃ HPVCO_00000056.HPVCO_00000028,every social impact of hpv is a type of something whose causally related to is a financial loss
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000175.HPVCO_00000157,every vulvar cancer is a type of something that has symptom a lumps on the vulva
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000197.HPVCO_00000045,every throat cancer is a type of something that cans potentially be prevented by a safe sexual behavior
SubClassOf,HPVCO_00000035 ⊑ HPVCO_00000151,every wart is a type of a skin condition
SubClassOf,HPVCO_00000099 ⊑ ∃ HPVCO_00000101.HPVCO_00000014,every cancer treatment is a type of something whose treat is a cancer
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000197.HPVCO_00000133,every throat cancer is a type of something that cans potentially be prevented by an avoiding needle sharing
SubClassOf,HPVCO_00000146 ⊑ HPVCO_00000126,every throat and mouth symptom is a type of a symptom
SubClassOf,HPVCO_00000109 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every cryotherapy is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000174 ⊑ ∃ HPVCO_00000056.HPVCO_00000017,every advanced age is a type of something whose causally related to is an anal cancer
SubClassOf,HPVCO_00000089 ⊑ HPVCO_00000063,every financial impact of cancer is a type of a cancer related psychological stress
SubClassOf,HPVCO_00000040 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every high risk sexual behavior is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000040 ⊑ HPVCO_00000034,every high risk sexual behavior is a type of a hpv risk factor
SubClassOf,HPVCO_00000108 ⊑ HPVCO_00000099,every circumcision is a type of a cancer treatment
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000018,every surgery is a type of something whose treat is a vaginal cancer
SubClassOf,HPVCO_00000019 ⊑ ∀ HPVCO_00000147.HPVCO_00000012,every vulvar cancer is a type of something whose disease has location is a vulva
SubClassOf,HPVCO_00000068 ⊑ HPVCO_00000052,every positive hpv related social norm is a type of a hpv vaccine related social norm
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000111.HPVCO_00000192,every anal cancer is a type of something that is diagnosed by a digital rectal exam
SubClassOf,HPVCO_00000092 ⊑ HPVCO_00000089,every direct financial impact of cancer is a type of a financial impact of cancer
SubClassOf,HPVCO_00000007 ⊑ ∃ BFO_0000050.HPVCO_00000030,every penis is a type of something whose part of is a human
SubClassOf,HPVCO_00000048 ⊑ HPVCO_00000045,every mutually monogamous relationship is a type of a safe sexual behavior
SubClassOf,HPVCO_00000065 ⊑ HPVCO_00000060,every cost of hpv medication is a type of a financial impact of hpv
SubClassOf,HPVCO_00000158 ⊑ HPVCO_00000144,every skin changes around vulva is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000110 ⊑ ∃ HPVCO_00000101.HPVCO_00000017,every palliative care is a type of something whose treat is an anal cancer
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000020,every chemotherapy is a type of something whose treat is a throat cancer
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000175.HPVCO_00000167,every penile cancer is a type of something that has symptom a foul-smelling discharge under foreskin
SubClassOf,HPVCO_00000183 ⊑ HPVCO_00000191,every healthcare provider is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000082 ⊑ HPVCO_00000079,every learning about hpv coping behavior is a type of an adapting to a lifestyle with hpv
SubClassOf,HPVCO_00000019 ⊑ HPVCO_00000014,every vulvar cancer is a type of a cancer
SubClassOf,HPVCO_00000130 ⊑ ∃ HPVCO_00000056.HPVCO_00000017,every multiple sexual partner is a type of something whose causally related to is an anal cancer
SubClassOf,HPVCO_00000037 ⊑ HPVCO_00000035,every common wart is a type of a wart
SubClassOf,HPVCO_00000114 ⊑ HPVCO_00000113,every pap test is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000165 ⊑ HPVCO_00000148,every weight loss is a type of a general symptom
SubClassOf,HPVCO_00000098 ⊑ ∃ HPVCO_00000178.HPVCO_00000014,every cancer management strategy is a type of something whose negatively regulate is a cancer
SubClassOf,HPVCO_00000156 ⊑ HPVCO_00000144,every tenderness in vulva area is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000005 ⊑ HPVCO_00000000,every destructive behavior is a type of a hpv related coping behavior
SubClassOf,HPVCO_00000001 ⊑ ∃ HPVCO_00000175.HPVCO_00000035,every hpv infection is a type of something that has symptom a wart
SubClassOf,HPVCO_00000014 ⊑ ∃ HPVCO_00000111.HPVCO_00000113,every cancer is a type of something that is diagnosed by a cancer diagnostic test
SubClassOf,HPVCO_00000006 ⊑ HPVCO_00000000,every constructive behavior is a type of a hpv related coping behavior
SubClassOf,HPVCO_00000170 ⊑ HPVCO_00000150,every painful urination is a type of an urination and bowel symptom
SubClassOf,HPVCO_00000020 ⊑ HPVCO_00000014,every throat cancer is a type of a cancer
SubClassOf,HPVCO_00000174 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every advanced age is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000046 ⊑ HPVCO_00000045,every dental dam usage is a type of a safe sexual behavior
SubClassOf,HPVCO_00000181 ⊑ HPVCO_00000190,every family member is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000133 ⊑ HPVCO_00000041,every avoiding needle sharing is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000097 ⊑ HPVCO_00000033,every cancer risk factor is a type of a risk factor
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000197.HPVCO_00000045,every cervical cancer is a type of something that cans potentially be prevented by a safe sexual behavior
SubClassOf,HPVCO_00000011 ⊑ HPVCO_00000034,every alcoholism is a type of a hpv risk factor
SubClassOf,HPVCO_00000143 ⊑ ∃ BFO_0000050.HPVCO_00000030,every pelvis is a type of something whose part of is a human
SubClassOf,HPVCO_00000002 ⊑ HPVCO_00000001,every hpv infection of the anus/genital region is a type of a hpv infection
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every surgery is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000119 ⊑ HPVCO_00000113,every mri scan is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000015,every chemotherapy is a type of something whose treat is a cervical cancer
SubClassOf,HPVCO_00000105 ⊑ ∃ HPVCO_00000101.HPVCO_00000020,every targeted drug therapy is a type of something whose treat is a throat cancer
SubClassOf,HPVCO_00000030 ⊑ HPVCO_00000029,every human is a type of an organism
SubClassOf,HPVCO_00000067 ⊑ HPVCO_00000060,every cost of doctor appointment / check-up for hpv is a type of a financial impact of hpv
SubClassOf,HPVCO_00000002 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every hpv infection of the anus/genital region is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000017,every surgery is a type of something whose treat is an anal cancer
SubClassOf,HPVCO_00000103 ⊑ ∃ HPVCO_00000101.HPVCO_00000019,every radiation is a type of something whose treat is a vulvar cancer
SubClassOf,HPVCO_00000084 ⊑ ∃ HPVCO_00000056.HPVCO_00000016,every lichen sclerosus skin condition is a type of something whose causally related to is a penile cancer
SubClassOf,HPVCO_00000118 ⊑ HPVCO_00000113,every physical exam of mouth and neck is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000027 ⊑ HPVCO_00000061,every negative attitude at workplace is a type of a social impact of hpv
SubClassOf,HPVCO_00000088 ⊑ HPVCO_00000087,every miscarriage prevention drug is a type of a prescribable drug
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000015,every surgery is a type of something whose treat is a cervical cancer
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000020,every surgery is a type of something whose treat is a throat cancer
SubClassOf,HPVCO_00000023 ⊑ HPVCO_00000006,every engage in physical activity is a type of a constructive behavior
SubClassOf,HPVCO_00000049 ⊑ ∃ HPVCO_00000074.HPVCO_00000055,every hpv vaccine uptake is a type of something that has driver a hpv vaccine refusal
SubClassOf,HPVCO_00000049 ⊑ ∃ HPVCO_00000173.HPVCO_00000051,every hpv vaccine uptake is a type of something that realizes in a hpv vaccine
SubClassOf,HPVCO_00000137 ⊑ HPVCO_00000041,every reduced alcohol consumption is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000013 ⊑ HPVCO_00000032,every throat is a type of an anatomical site
SubClassOf,HPVCO_00000072 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every anti-vaccine conspiracy theory is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000111.HPVCO_00000123,every penile cancer is a type of something that is diagnosed by a ct scan
SubClassOf,HPVCO_00000157 ⊑ HPVCO_00000144,every lumps on the vulva is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000128 ⊑ HPVCO_00000097,every vaginal intraepithelial neoplasia (vain)atypical cells in the vagi is a type of a cancer risk factor
SubClassOf,HPVCO_00000103 ⊑ HPVCO_00000099,every radiation is a type of a cancer treatment
SubClassOf,HPVCO_00000172 ⊑ HPVCO_00000145,every pain in anal area is a type of a pelvic and anal symptom
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000111.HPVCO_00000117,every cervical cancer is a type of something that is diagnosed by a cone biopsy
SubClassOf,HPVCO_00000105 ⊑ HPVCO_00000099,every targeted drug therapy is a type of a cancer treatment
SubClassOf,HPVCO_00000001 ⊑ ∃ HPVCO_00000111.HPVCO_00000057,every hpv infection is a type of something that is diagnosed by a hpv testing/screeninghpv diagnostic test
SubClassOf,HPVCO_00000051 ⊑ HPVCO_00000050,every hpv vaccine is a type of a vaccine
SubClassOf,HPVCO_00000106 ⊑ ∃ HPVCO_00000101.HPVCO_00000020,every immunotherapy is a type of something whose treat is a throat cancer
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000111.HPVCO_00000115,every cervical cancer is a type of something that is diagnosed by an endocervical curettage
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000111.HPVCO_00000119,every penile cancer is a type of something that is diagnosed by a mri scan
SubClassOf,HPVCO_00000044 ⊑ ∃ HPVCO_00000178.HPVCO_00000001,every hpv infection management stratergy is a type of something whose negatively regulate is a hpv infection
SubClassOf,HPVCO_00000002 ⊑ ∃ HPVCO_00000056.HPVCO_00000016,every hpv infection of the anus/genital region is a type of something whose causally related to is a penile cancer
SubClassOf,HPVCO_00000008 ⊑ HPVCO_00000032,every anus is a type of an anatomical site
SubClassOf,HPVCO_00000095 ⊑ HPVCO_00000091,every cancer related anxiety is a type of a social impact of cancer
SubClassOf,HPVCO_00000168 ⊑ HPVCO_00000149,every lumps on penis is a type of a penile symptom
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000121,every vaginal cancer is a type of something that is diagnosed by a biopsy
SubClassOf,HPVCO_00000188 ⊑ HPVCO_00000191,every employer is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000110 ⊑ HPVCO_00000099,every palliative care is a type of a cancer treatment
SubClassOf,HPVCO_00000042 ⊑ HPVCO_00000034,every weakened immune system is a type of a hpv risk factor
SubClassOf,HPVCO_00000073 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every religious beliefs in vaccine is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000104 ⊑ HPVCO_00000099,every surgery is a type of a cancer treatment
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000111.HPVCO_00000195,every anal cancer is a type of something that is diagnosed by a proctoscopy
SubClassOf,HPVCO_00000106 ⊑ ∃ HPVCO_00000101.HPVCO_00000019,every immunotherapy is a type of something whose treat is a vulvar cancer
SubClassOf,HPVCO_00000130 ⊑ HPVCO_00000040,every multiple sexual partner is a type of a high risk sexual behavior
SubClassOf,HPVCO_00000016 ⊑ HPVCO_00000014,every penile cancer is a type of a cancer
SubClassOf,HPVCO_00000062 ⊑ HPVCO_00000059,every sexual and relationship impact of hpv is a type of a hpv related psychological stress
SubClassOf,HPVCO_00000152 ⊑ HPVCO_00000144,every vaginal bleeding is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000175.HPVCO_00000158,every vulvar cancer is a type of something that has symptom a skin changes around vulva
SubClassOf,HPVCO_00000189 ⊑ HPVCO_00000183,every psychologist is a type of a healthcare provider
SubClassOf,HPVCO_00000192 ⊑ HPVCO_00000113,every digital rectal exam is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000177 ⊑ HPVCO_00000145,every mass or growth in anu is a type of a pelvic and anal symptom
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000175.HPVCO_00000166,every penile cancer is a type of something that has symptom a skin changes of the penis
SubClassOf,HPVCO_00000009 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every smoking is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000128 ⊑ ∃ HPVCO_00000147.HPVCO_00000010,every vaginal intraepithelial neoplasia (vain)atypical cells in the vagi is a type of something whose disease has location is a vagi
SubClassOf,HPVCO_00000100 ⊑ HPVCO_00000097,every human immunodeficiency virus (hiv) infection is a type of a cancer risk factor
SubClassOf,HPVCO_00000102 ⊑ HPVCO_00000099,every chemotherapy is a type of a cancer treatment
SubClassOf,HPVCO_00000132 ⊑ HPVCO_00000097,every needle sharing is a type of a cancer risk factor
SubClassOf,HPVCO_00000131 ⊑ HPVCO_00000040,every anal sex is a type of a high risk sexual behavior
SubClassOf,HPVCO_00000163 ⊑ HPVCO_00000146,every trouble with mouth and tongue is a type of a throat and mouth symptom
SubClassOf,HPVCO_00000136 ⊑ HPVCO_00000041,every self-examination is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000165,every throat cancer is a type of something that has symptom a weight loss
SubClassOf,HPVCO_00000058 ⊑ HPVCO_00000044,every hpv infection risk reduction strategy is a type of a hpv infection management stratergy
SubClassOf,HPVCO_00000103 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every radiation is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000009 ⊑ HPVCO_00000034,every smoking is a type of a hpv risk factor
SubClassOf,HPVCO_00000003 ⊑ HPVCO_00000001,every hpv infection of the throat is a type of a hpv infection
SubClassOf,HPVCO_00000106 ⊑ HPVCO_00000099,every immunotherapy is a type of a cancer treatment
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000111.HPVCO_00000121,every vulvar cancer is a type of something that is diagnosed by a biopsy
SubClassOf,HPVCO_00000038 ⊑ HPVCO_00000035,every plantar wart is a type of a wart
SubClassOf,HPVCO_00000008 ⊑ ∃ BFO_0000050.HPVCO_00000030,every anus is a type of something whose part of is a human
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000116,every vaginal cancer is a type of something that is diagnosed by a colposcopic biopsy
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000175.HPVCO_00000172,every anal cancer is a type of something that has symptom a pain in anal area
SubClassOf,HPVCO_00000166 ⊑ HPVCO_00000149,every skin changes of the penis is a type of a penile symptom
SubClassOf,HPVCO_00000077 ⊑ HPVCO_00000075,every embarrassment in getting hpv vaccine is a type of an attitude towards hpv vaccine
SubClassOf,HPVCO_00000183 ⊑ HPVCO_00000190,every healthcare provider is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000159 ⊑ HPVCO_00000145,every itiching around anu is a type of a pelvic and anal symptom
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000142,every throat cancer is a type of something that has symptom an ear pain
SubClassOf,HPVCO_00000007 ⊑ HPVCO_00000032,every penis is a type of an anatomical site
SubClassOf,HPVCO_00000011 ⊑ ∃ HPVCO_00000056.HPVCO_00000020,every alcoholism is a type of something whose causally related to is a throat cancer
SubClassOf,HPVCO_00000012 ⊑ ∃ BFO_0000050.HPVCO_00000030,every vulva is a type of something whose part of is a human
SubClassOf,HPVCO_00000143 ⊑ HPVCO_00000032,every pelvis is a type of an anatomical site
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000197.HPVCO_00000049,every cervical cancer is a type of something that cans potentially be prevented by a hpv vaccine uptake
SubClassOf,HPVCO_00000121 ⊑ HPVCO_00000113,every biopsy is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000045 ⊑ HPVCO_00000041,every safe sexual behavior is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000195 ⊑ HPVCO_00000113,every proctoscopy is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000014 ⊑ ∃ HPVCO_00000056.HPVCO_00000063,every cancer is a type of something whose causally related to is a cancer related psychological stress
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000111.HPVCO_00000116,every cervical cancer is a type of something that is diagnosed by a colposcopic biopsy
SubClassOf,HPVCO_00000135 ⊑ HPVCO_00000058,every routine medical check-up is a type of a hpv infection risk reduction strategy
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000197.HPVCO_00000138,every throat cancer is a type of something that cans potentially be prevented by a reduced tobacco usage
SubClassOf,HPVCO_00000010 ⊑ ∃ BFO_0000050.HPVCO_00000030,every vagi is a type of something whose part of is a human
SubClassOf,HPVCO_00000088 ⊑ HPVCO_00000097,every miscarriage prevention drug is a type of a cancer risk factor
SubClassOf,HPVCO_00000057 ⊑ HPVCO_00000134,every hpv testing/screeninghpv diagnostic test is a type of a health monitoring
